lfdn;tag;converted
30.0;Process doesn't allow for innovation;Insufficient development process
30.0;Lack of requirements management;Lack of management
41.0;Lack of discipline;Human factors
41.0;Lack of requirements management;Lack of management
41.0;Missing knowledge about development framework;Lack of knowledge
41.0;Lack of time;Lack of management
41.0;Inability to specify measurable non-functional requirements;Lack of knowledge
48.0;Subjective interpretations;Human factors
48.0;Requirements remain too abstract;Process execution defects
48.0;Lack of experience of RE team members;Lack of knowledge
48.0;Lack of trust;Human factors
48.0;Communication flaws between the project and the customer;Communication problems
48.0;Poor project management;Lack of management
58.0;Lack of trust;Human factors
58.0;Lack of trust;Human factors
58.0;Customer does not know what he wants;Lack of knowledge
58.0;Poor project management;Lack of management
58.0;Missing RE awareness at customer side;Lack of RE awareness
58.0;Unclear business needs;Lack of common understanding about goals
76.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
76.0;Solution orientation;Insufficient development process
76.0;Unclear terminology;Communication problems
76.0;Poor project management;Lack of management
81.0;Too high team distribution;Lack of management
81.0;Lack of time;Lack of management
81.0;Missing IT project experience at customer side;Lack of knowledge
81.0;Missing of a global view of the system;Lack of knowledge
81.0;Language barriers;Communication problems
82.0;Lack of requirements management;Lack of management
91.0;Too high team distribution;Lack of management
91.0;Lack of time;Lack of management
91.0;Customer does not know what he wants;Lack of knowledge
93.0;Missing of a global view of the system;Lack of knowledge
93.0;Unclear business needs;Lack of common understanding about goals
93.0;Lack of a well-defined RE process;Insufficient development process
93.0;Lack of experience of RE team members;Lack of knowledge
97.0;High cost;Lack of management
97.0;Missing RE awareness at team side;Lack of RE awareness
97.0;Unclear terminology;Communication problems
97.0;Missing company wide standard;Insufficient development process
106.0;Workload of customer;Lack of involvement from the customer
106.0;Lack of a well-defined RE process;Insufficient development process
106.0;Missing access to business needs;Lack of knowledge
106.0;Lack of time;Lack of management
106.0;High complexity in overall project setting;High complexity of projects
114.0;Requirements remain too abstract;Process execution defects
114.0;Missing requirements specification template;Process execution defects
118.0;Poor project management;Lack of management
119.0;Poor requirements elicitation techniques;Insufficient development process
119.0;Missing technical knowledge;Lack of knowledge
119.0;Missing customer involvement;Lack of involvement from the customer
119.0;Missing knowledge about development framework;Lack of knowledge
119.0;Lack of a well-defined RE process;Insufficient development process
120.0;Too high team distribution;Lack of management
120.0;Solution orientation;Insufficient development process
120.0;Lack of training;Lack of knowledge
120.0;Customer does not know what he wants;Lack of knowledge
120.0;Inappropriate definition of contract;Lack of management
126.0;Missing knowledge about development framework;Lack of knowledge
126.0;Missing knowledge about development framework;Lack of knowledge
126.0;Lack of experience of RE team members;Lack of knowledge
126.0;Complexity of domain;High complexity of projects
126.0;Lack of experience of RE team members;Lack of knowledge
126.0;High cost;Lack of management
129.0;Incomplete requirements;Lack of knowledge
129.0;Unclear terminology;Communication problems
129.0;Lack of time;Lack of management
129.0;Lack of teamwork skills;Lack of knowledge
129.0;Non-functional requirements unclear;Process execution defects
141.0;Missing direct communication to customer;Communication problems
141.0;Changing business needs;Moving targets
141.0;Communication flaws between team and customer;Communication problems
144.0;Inability to specify measurable non-functional requirements;Lack of knowledge
144.0;Lack of project management;Lack of management
144.0;Insufficient resources;Lack of management
144.0;Missing concentration on business needs;Lack of involvement within the team
144.0;Missing technical knowledge;Lack of knowledge
146.0;Unavailability of requirements engineer;Lack of engagement
146.0;Lack of communication channels;Lack of communication channels
146.0;Communication flaws between team and customer;Communication problems
146.0;Missing customer involvement;Lack of involvement from the customer
147.0;Poor project management;Lack of management
147.0;Poor requirements elicitation techniques;Insufficient development process
147.0;Unclear business needs;Lack of common understanding about goals
147.0;Complexity of project;High complexity of projects
147.0;Unclear roles and responsonsibilities at customer side;Lack of management
149.0;Missing direct communication to customer;Communication problems
149.0;Lack of time;Lack of management
149.0;Miscommunication between RE team;Communication problems
149.0;Poor project management;Lack of management
149.0;Solution orientration;Process execution defects
150.0;Communication flaws between team and customer;Communication problems
150.0;Conflicts of personalities;Human factors
150.0;Incomplete requirements;Lack of knowledge
150.0;Missing completeness check of requirements;Process execution defects
150.0;Lack of experience of RE team members;Lack of knowledge
160.0;Lack of a well-defined RE process;Insufficient development process
160.0;Missing customer involvement;Lack of involvement from the customer
160.0;Communication flaws between team and customer;Communication problems
160.0;High cost;Lack of management
163.0;Conflicts of personalities;Human factors
163.0;Lack of experience of RE team members;Lack of knowledge
163.0;Missing IT project experience at customer side;Lack of knowledge
163.0;Lack of a well-defined RE process;Insufficient development process
163.0;Lack of leadership;Lack of management
165.0;Insufficient agility;Lack of common understanding about goals
165.0;Lack of experience of RE team members;Lack of knowledge
165.0;Poor requirements elicitation techniques;Insufficient development process
165.0;Poor requirements elicitation techniques;Insufficient development process
165.0;Lack of project management;Lack of management
167.0;Lack of leadership;Lack of management
167.0;Lack of communication channels;Lack of communication channels
167.0;Lack of experience of RE team members;Lack of knowledge
167.0;Lack of leadership;Lack of management
167.0;Lack of experience of RE team members;Lack of knowledge
168.0;Unclear business needs;Lack of common understanding about goals
168.0;Complexity of project;High complexity of projects
168.0;Lack of experience of RE team members;Lack of knowledge
168.0;SE Team refrains from asking questions;Communication problems
168.0;Complexity of project;High complexity of projects
170.0;Missing communication to customer side;Communication problems
170.0;Incomplete requirements;Lack of knowledge
170.0;Missing documentation;Process execution defects
170.0;Volatile requirements;Moving targets
170.0;Poor project management;Lack of management
178.0;Missing direct communication to customer;Communication problems
178.0;Documentation overhead;Process execution defects
179.0;Insufficient information;Lack of knowledge
179.0;Missing customer involvement;Lack of involvement from the customer
179.0;Lack of communication channels;Lack of communication channels
179.0;Language barriers;Communication problems
179.0;Customer does not know what he wants;Lack of knowledge
182.0;Lack of a well-defined RE process;Insufficient development process
182.0;Poor project management;Lack of management
182.0;Non functional requirements unclear;Process execution defects
182.0;Volatile requirements;Moving targets
188.0;Unclear business needs;Lack of common understanding about goals
188.0;Missing technical knowledge;Lack of knowledge
188.0;Volatile industry segment that leads to changes;Changing project characteristics
188.0;Lack of communication channels;Lack of communication channels
188.0;Lack of creativity;Lack of creativity
199.0;Poor project management;Lack of management
199.0;Poor project management;Lack of management
199.0;Lack of requirements management;Lack of management
199.0;Insufficient analysis at the beginning of the project;Process execution defects
199.0;Missing involvement of developers;Lack of involvement within the team
203.0;Poor project management;Lack of management
203.0;Subjective interpretations;Human factors
205.0;Weak qualification of stakeholders;Lack of knowledge
205.0;Lack of project management;Lack of management
205.0;Missing concentration on business needs;Lack of involvement within the team
208.0;Lack of creativity;Lack of creativity
208.0;Thinking in legacy systems;Lack of common understanding about goals
208.0;Customer does not formally approve the requirements;Process execution defects
208.0;Conflict of interests at customer side;Lack of common understanding about goals
208.0;Lack of time;Lack of management
210.0;Poor requirements elicitation techniques;Insufficient development process
210.0;Lack of experience of RE team members;Lack of knowledge
210.0;Lack of time;Lack of management
213.0;Missing solution approach;Insufficient development process
213.0;Insufficient collaboration in process;Process execution defects
213.0;Lack of time;Lack of management
213.0;Unclear terminology;Communication problems
213.0;Not following the communication plan;Process execution defects
213.0;Requirements remain too abstract;Process execution defects
215.0;Non-functional requirements unclear;Process execution defects
215.0;Pressure to not exceed priminarily defined resources;Lack of management
215.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
215.0;Too high team distribution;Lack of management
217.0;Missing domain knowledge;Lack of knowledge
217.0;Lack of teamwork skills;Lack of knowledge
217.0;Communication flaws between team and customer;Communication problems
217.0;Missing domain knowledge;Lack of knowledge
217.0;Lack of time;Lack of management
230.0;Missing domain knowledge;Lack of knowledge
230.0;Unclear terminology;Communication problems
230.0;Lack of requirements management;Lack of management
230.0;High quality expectation of customer;Lack of common understanding about goals
230.0;Lack of a well-defined RE process;Insufficient development process
231.0;Lack of experience of RE team members;Lack of knowledge
231.0;Lack of experience of RE team members;Lack of knowledge
231.0;Lack of experience of RE team members;Lack of knowledge
231.0;Lack of experience of RE team members;Lack of knowledge
231.0;Lack of experience of RE team members;Lack of knowledge
239.0;Lack of experience of RE team members;Lack of knowledge
239.0;Insufficient analysis at the beginning of the project;Process execution defects
239.0;Missing customer involvement;Lack of involvement from the customer
249.0;Lack of discipline;Human factors
249.0;Missing domain knowledge;Lack of knowledge
249.0;Changing business needs;Moving targets
249.0;Unclear roles and responsonsibilities at customer side;Lack of management
249.0;Conflict of personalities;Human factors
258.0;Unclear business needs;Lack of common understanding about goals
258.0;Lack of time;Lack of management
259.0;Poor requirements elicitation techniques;Insufficient development process
259.0;Demotivation;Human factors
259.0;Demotivation;Human factors
259.0;Complexity of project;High complexity of projects
259.0;Missing domain knowledge;Lack of knowledge
259.0;Insufficient analysis at the beginning of the project;Process execution defects
263.0;Lack of time;Lack of management
263.0;Missing willingless to change;Human factors
263.0;Complexity of project;High complexity of projects
263.0;Complexity of project;High complexity of projects
263.0;Poor project management;Lack of management
267.0;Not following the communication plan;Process execution defects
267.0;Poor project management;Lack of management
267.0;Lack of time;Lack of management
267.0;Lack of time;Lack of management
267.0;Miscommunication between RE team;Communication problems
268.0;Poor documentation;Process execution defects
268.0;Missing requirements specification template;Process execution defects
268.0;Customer does not know what he wants;Lack of knowledge
268.0;Lack of project management;Lack of management
268.0;Lack of time;Lack of management
278.0;Lack of trust;Human factors
278.0;Lack of leadership;Lack of management
278.0;Insufficient collaboration in process;Process execution defects
278.0;Lack of leadership;Lack of management
278.0;Lack of trust;Human factors
283.0;Subjective interpretations;Human factors
283.0;Lack of experience of RE team members;Lack of knowledge
283.0;Inability to specify measurable non-functional requirements;Lack of knowledge
283.0;Subjective interpretations;Human factors
291.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
291.0;High complexity in overall project setting;High complexity of projects
291.0;Communication flaws between team and customer;Communication problems
295.0;Weak management at customer side;Lack of management
295.0;Volatile industry segment that leads to changes;Changing project characteristics
295.0;Weak management at customer side;Lack of management
295.0;Lack of project management;Lack of management
297.0;Missing RE awareness at team side;Lack of RE awareness
297.0;Missing tool support;Insufficient development process
297.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
297.0;Communication flaws between team and customer;Communication problems
297.0;Poor project management;Lack of management
304.0;Team fluctuation;Changing project characteristics
304.0;Unclear terminology;Communication problems
304.0;Insufficient agility;Lack of common understanding about goals
304.0;Team fluctuation;Changing project characteristics
304.0;Many customers;Lack of management
304.0;Strict time schedule by customer;Lack of management
310.0;Lack of time;Lack of management
310.0;Conflict of interests at customer side;Lack of common understanding about goals
310.0;Complexity of domain;High complexity of projects
310.0;Customer does not know what he wants;Lack of knowledge
313.0;Inability to specify measurable non-functional requirements;Lack of knowledge
313.0;Strict time schedule by customer;Lack of management
313.0;Subjective interpretations;Human factors
313.0;Lack of time;Lack of management
313.0;Missing prioritization by customer;Process execution defects
317.0;Lack of time;Lack of management
330.0;Weak qualification of RE team members;Lack of knowledge
330.0;Missing customer involvement;Lack of involvement from the customer
330.0;Many customers;Lack of management
330.0;Unclear roles and responsibilities at customer side;Lack of management
330.0;Missing customer involvement;Lack of involvement from the customer
332.0;Lack of a well-defined RE process;Insufficient development process
341.0;Unclear terminology;Communication problems
341.0;Volatile requirements;Moving targets
355.0;Lack of experience of RE team members;Lack of knowledge
355.0;Insufficient team size;Lack of management
355.0;Insufficient team size;Lack of management
355.0;Complexity of project;High complexity of projects
359.0;Missing engagement by customer;Lack of engagement
359.0;Conflict of interests at customer side;Lack of common understanding about goals
359.0;Lack of time;Lack of management
359.0;Not following the communication plan;Process execution defects
359.0;Missing domain knowledge;Lack of knowledge
364.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
364.0;Incomplete requirements;Lack of knowledge
364.0;Conflict of interests at management level;Lack of common understanding about goals
364.0;Unclear project scope;Lack of management
364.0;Poor project management;Lack of management
365.0;Changing business needs;Moving targets
365.0;Missing customer involvement;Lack of involvement from the customer
370.0;Lack of change management at customer side;Lack of management
370.0;Missing domain knowledge;Lack of knowledge
370.0;Strict time schedule by customer;Lack of management
370.0;Missing of a global view of the system;Lack of knowledge
372.0;Unclear business needs;Lack of common understanding about goals
377.0;Too high team distribution;Lack of management
377.0;Missing customer involvement;Lack of involvement from the customer
377.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
377.0;Lack of requirements management;Lack of management
377.0;Weak qualification of stakeholders;Lack of knowledge
378.0;Lack of experience of RE team members;Lack of knowledge
378.0;Missing documentation;Process execution defects
378.0;Missing customer involvement;Lack of involvement from the customer
378.0;Gold plating;Process execution defects
378.0;Missing documentation;Process execution defects
384.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
384.0;Gold plating;Process execution defects
384.0;Lack of requirements management;Lack of management
384.0;Thinking in legacy systems;Lack of common understanding about goals
384.0;Insufficient requirements;Process execution defects
387.0;Complexity of RE;High complexity of projects
387.0;Solution orientation;Insufficient development process
387.0;Volatile industry segment that leads to changes;Changing project characteristics
387.0;Missing tool support;Insufficient development process
387.0;Poor project management;Lack of management
393.0;Communication flaws between team and customer;Communication problems
393.0;Complexity of project;High complexity of projects
393.0;Lack of a well-defined RE process;Insufficient development process
393.0;Poor project management;Lack of management
393.0;Complexity of project;High complexity of projects
416.0;Lack of requirements management;Lack of management
416.0;Insufficient resources;Lack of management
416.0;Insufficient team size;Lack of management
416.0;Unavailability of requirements engineer;Lack of engagement
416.0;Lack of training;Lack of knowledge
420.0;Missing concentration on business needs;Lack of involvement within the team
420.0;Non-functional requirements unclear;Process execution defects
420.0;Weak qualification of stakeholders;Lack of knowledge
425.0;Customer does not know what he wants;Lack of knowledge
425.0;Customer does not know what he wants;Lack of knowledge
425.0;Poor project management;Lack of management
425.0;Poor project management;Lack of management
427.0;Missing customer involvement;Lack of involvement from the customer
427.0;Poor project management;Lack of management
427.0;Lack of time;Lack of management
427.0;Incomplete requirements;Lack of knowledge
427.0;Missing customer involvement;Lack of involvement from the customer
437.0;Lack of experience of RE team members;Lack of knowledge
437.0;Lack of a well-defined RE process;Insufficient development process
437.0;Volatile industry segment that leads to changes;Changing project characteristics
437.0;Missing customer involvement;Lack of involvement from the customer
442.0;Volatile industry segment that leads to changes;Changing project characteristics
442.0;Poor project management;Lack of management
442.0;Missing knowledge about development framework;Lack of knowledge
444.0;Poor documentation;Process execution defects
444.0;Poor requirements elicitation techniques;Insufficient development process
444.0;Pressure to not exceed priminarily defined resources;Lack of management
444.0;Missing prioritization by customer;Process execution defects
444.0;Lack of time;Lack of management
444.0;Missing documentation;Process execution defects
446.0;Demotivation;Human factors
446.0;Lack of interest about customers domain;Human factors
446.0;Incomplete requirements;Lack of knowledge
446.0;Lack of requirements management;Lack of management
446.0;Demotivation;Human factors
453.0;Lack of experience of RE team members;Lack of knowledge
453.0;Lack of change management at customer side;Lack of management
453.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
453.0;Missing customer involvement;Lack of involvement from the customer
453.0;Lack of time;Lack of management
461.0;Insufficient information;Lack of knowledge
461.0;Lack of time;Lack of management
461.0;Missing technical knowledge;Lack of knowledge
461.0;Lack of time;Lack of management
461.0;Poor project management;Lack of management
467.0;Lack of communication channels;Lack of communication channels
467.0;Missing completeness check of requirements;Process execution defects
467.0;Lack of experience of RE team members;Lack of knowledge
467.0;Unexpected changes in requirements;Moving targets
467.0;Poor project management;Lack of management
468.0;Unclear business needs;Lack of common understanding about goals
468.0;Demotivation;Human factors
468.0;Missing technical knowledge;Lack of knowledge
468.0;Missing knowledge transfer;Lack of knowledge
468.0;Missing customer involvement;Lack of involvement from the customer
479.0;Insufficient collaboration in process;Process execution defects
479.0;Unclear terminology;Communication problems
479.0;Insufficient agility;Lack of common understanding about goals
479.0;Lack of interest about customers domain;Human factors
482.0;Lack of teamwork skills;Lack of knowledge
482.0;Incomplete requirements;Lack of knowledge
482.0;Missing requirements specification template;Process execution defects
482.0;Requirements remain too abstract;Process execution defects
485.0;Missing domain knowledge;Lack of knowledge
485.0;Lack of time;Lack of management
485.0;Miscommunication between RE team;Communication problems
485.0;Lack of a well-defined RE process;Insufficient development process
485.0;Lack of a well-defined RE process;Insufficient development process
489.0;Lack of time;Lack of management
489.0;Lack of time;Lack of management
489.0;Lack of time;Lack of management
502.0;Lack of requirements management;Lack of management
506.0;Poor requirements elicitation techniques;Insufficient development process
506.0;Poor requirements elicitation techniques;Insufficient development process
511.0;Volatile industry segment that leads to changes;Changing project characteristics
511.0;Missing customer involvement;Lack of involvement from the customer
511.0;Lack of time;Lack of management
511.0;Weak management at customer side;Lack of management
512.0;Missing concentration on business needs;Lack of involvement within the team
512.0;Weak qualification of stakeholders;Lack of knowledge
512.0;Lack of teamwork skills;Lack of knowledge
512.0;Missing direct communication to customer;Communication problems
518.0;Lack of discipline;Human factors
518.0;Not following the communication plan;Process execution defects
518.0;Customer does not know what he wants;Lack of knowledge
518.0;Lack of time;Lack of management
523.0;Poor documentation;Process execution defects
523.0;Insufficient team size;Lack of management
523.0;Communication flaws between team and customer;Communication problems
523.0;Unavailability of requirements engineer;Lack of engagement
523.0;Weak qualification of RE team members;Lack of knowledge
524.0;Lack of communication channels;Lack of communication channels
524.0;Incomplete requirements;Lack of knowledge
524.0;Missing check of requirements;Process execution defects
524.0;Lack of a well-defined RE process;Insufficient development process
524.0;Missing customer involvement;Lack of involvement from the customer
525.0;Poor project management;Lack of management
525.0;High quality expectation of customer;Lack of common understanding about goals
525.0;Incomplete requirements;Lack of knowledge
525.0;Missing willingless to change;Human factors
525.0;Lack of communication channels;Lack of communication channels
534.0;Stakeholder fluctuation;Changing project characteristics
534.0;Lack of time;Lack of management
534.0;Missing direct communication to customer;Communication problems
534.0;Lack of teamwork skills;Lack of knowledge
541.0;Lack of requirements management;Lack of management
545.0;Lack of discipline;Human factors
545.0;Lack of experience of RE team members;Lack of knowledge
545.0;Lack of time;Lack of management
545.0;Policy restrictions;High complexity of projects
545.0;Lack of time;Lack of management
549.0;Poor project management;Lack of management
549.0;Unclear roles and responsonsibilities at customer side;Lack of management
549.0;Many customers;Lack of management
549.0;Incomplete requirements;Lack of knowledge
549.0;Customer does not know what he wants;Lack of knowledge
549.0;Missing completeness check of requirements;Process execution defects
570.0;Language barriers;Communication problems
570.0;Lack of a well-defined RE process;Insufficient development process
570.0;Unclear terminology;Communication problems
570.0;Insufficient resource plan;Lack of management
570.0;Lack of experience of RE team members;Lack of knowledge
572.0;Missing company wide standard;Insufficient development process
572.0;Lack of requirements management;Lack of management
572.0;Missing concentration on business needs;Lack of involvement within the team
572.0;Lack of a well-defined RE process;Insufficient development process
573.0;Lack of leadership;Lack of management
573.0;Missing domain knowledge;Lack of knowledge
573.0;Weak qualification of RE team members;Lack of knowledge
573.0;Unclear business needs;Lack of common understanding about goals
586.0;Communication flaws between team and customer;Communication problems
586.0;Communication flaws between team and customer;Communication problems
586.0;Complexity of project;High complexity of projects
586.0;Lack of a well-defined RE process;Insufficient development process
586.0;Unclear terminology;Communication problems
626.0;Missing domain knowledge;Lack of knowledge
626.0;Lack of requirements management;Lack of management
626.0;Unclear business needs;Lack of common understanding about goals
626.0;Missing company wide standard;Insufficient development process
626.0;Lack of experience of RE team members;Lack of knowledge
637.0;Lack of experience of RE team members;Lack of knowledge
637.0;Poor project management;Lack of management
637.0;Strict time schedule by customer;Lack of management
637.0;Thinking in legacy systems;Lack of common understanding about goals
637.0;Missing tool support;Insufficient development process
640.0;Conflict of interests at management level;Lack of common understanding about goals
640.0;Gold plating;Process execution defects
640.0;Poor requirements elicitation techniques;Insufficient development process
640.0;Conflict of interests at customer side;Lack of common understanding about goals
640.0;Strict time schedule by customer;Lack of management
649.0;High quality expectation of customer;Lack of common understanding about goals
649.0;Thinking in legacy systems;Lack of common understanding about goals
649.0;High quality expectation of customer;Lack of common understanding about goals
649.0;Lack of time;Lack of management
649.0;Missing engagement by customer;Lack of engagement
661.0;Lack of project management;Lack of management
661.0;Customer does not know what he wants;Lack of knowledge
661.0;Lack of leadership;Lack of management
661.0;Volatile industry segment that leads to changes;Changing project characteristics
663.0;Lack of a well-defined RE process;Insufficient development process
663.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
663.0;Missing IT project experience at customer side;Lack of knowledge
663.0;Missing of a global view of the system;Lack of knowledge
663.0;Weak qualification of RE team members;Lack of knowledge
676.0;Lack of requirements management;Lack of management
676.0;Customer does not know what he wants;Lack of knowledge
676.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
676.0;Missing customer involvement;Lack of involvement from the customer
676.0;Customer does not formally approve the requirements;Process execution defects
684.0;Missing customer involvement;Lack of involvement from the customer
684.0;Communication flaws between team and customer;Communication problems
684.0;Unclear business needs;Lack of common understanding about goals
684.0;Lack of time;Lack of management
694.0;Weak qualification of RE team members;Lack of knowledge
694.0;Strict time schedule by customer;Lack of management
694.0;Requirements engineer has no influence on customer;Communication problems
694.0;Communication flaws between team and customer;Communication problems
694.0;Insufficient collaboration in process;Process execution defects
710.0;Customer does not formally approve the requirements;Process execution defects
710.0;Lack of time;Lack of management
710.0;Poor project management;Lack of management
710.0;Lack of communication channels;Lack of communication channels
710.0;Lack of time;Lack of management
719.0;Lack of experience of RE team members;Lack of knowledge
719.0;Miscommunication between RE team;Communication problems
719.0;Customer does not formally approve the requirements;Process execution defects
719.0;Missing methodology;Insufficient development process
719.0;Insufficient analysis at the beginning of the project;Process execution defects
722.0;Unclear roles and responsonsibilities at customer side;Lack of management
722.0;Lack of requirements management;Lack of management
722.0;Poor project management;Lack of management
722.0;Weak qualification of RE team members;Lack of knowledge
723.0;Miscommunication between RE team;Communication problems
723.0;Subjective interpretations;Human factors
729.0;Unclear roles and responsonsibilities at customer side;Lack of management
729.0;Team fluctuation;Changing project characteristics
729.0;Solution orientation;Insufficient development process
735.0;Lack of requirements management;Lack of management
735.0;Poor project management;Lack of management
