lfdn;Problem;Cause;tag;Rank;Source Id;Target Id;HumanRelated;Category;Discussion needed
30;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;We sometimes implement extra functions in research projects.;Process doesn't allow for innovation;2;109;2;;;
30;Missing traceability;We sometimes implement functions without making/changing documents.;Lack of requirements management;1;65;8;;;
41;Missing traceability;Someone in our group is going off and making code decisions on their own and attempting to push it to production. We have told this person twice now to stop and to wait for the team to decide if it fits our requirements, but it is not helping.;Lack of discipline;4;60;8;;;
41;Stakeholders with difficulties in separating requirements from previously known solution designs;We are basing our project off of another app that we have used, but we are trying to make it better - this makes it difficult to see our innovation as the customers are used to the old apps;Lack of requirements management;5;65;10;;;
41;Terminological problems;Some people in the group have learned different ways of speaking in terms of software engineering and requirements analysis, which is making it difficult to properly document our project.;Missing knowledge about development framework;3;88;12;;;
41;Time boxing / Not enough time in general;We've been given a very tight deadline with no recourse if not completed by the deadline;Lack of time;1;67;13;;;
41;Unclear / unmeasurable non-functional requirements;It is difficult to measure usability without lots of beta testing, which we do not have the means to do at this time;Inability to specify measurable non-functional requirements;2;43;14;;;
48;Communication flaws between the project and the customer;Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented;Communication flaws between the project and the customer;5;23;0;;;
48;Communication flaws between the project and the customer;Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented;Lack of trust;5;69;0;;;
48;Missing traceability;Losing track of where requirements are located. Causes developer to assume;Poor project management;3;106;8;;;
48;Stakeholders with difficulties in separating requirements from previously known solution designs;If requirements are too vague, developer often implement changes by going off own ideas;Requirements remain too abstract;4;111;10;;;
48;Terminological problems;Confusion with what the customer wants;Subjective interpretations;1;119;12;;;
48;Underspecified requirements that are too abstract and allow for various interpretations;Causes assumptions of what should be implemented because too vague;Lack of experience of RE team members;2;61;15;;;
58;Communication flaws between the project and the customer;mistrust;Lack of trust;1;69;0;;;
58;Communication flaws within the project team;mistrust;Lack of trust;3;69;1;;;
58;Incomplete or hidden requirements;"business as usual; always worked this way";Customer does not know what he wants;5;34;4;;;
58;Incomplete or hidden requirements;"business as usual; always worked this way";Poor project management;5;106;4;;;
58;Weak access to customer needs and / or (internal) business information;"business as usual; always worked this way";Missing RE awareness at customer side;2;94;17;;;
58;Weak knowledge about customer's application domain;"business as usual; always worked this way";Unclear business needs;4;126;18;;;
76;Moving targets (changing goals, business processes and / or requirements);Lack of corporate maturity in defining its vision;Stakeholders lack business vision and understanding;2;117;9;;;
76;Stakeholders with difficulties in separating requirements from previously known solution designs;Typical behaviour/issue. ;Solution orientation;3;114;10;;;
76;Terminological problems;Specific usage of terms in context;Unclear terminology;4;130;12;;;
76;Time boxing / Not enough time in general;Management commitment irrespective of plan;Poor project management;1;106;13;;;
81;Gold plating (implementation of features without corresponding requirements);Providers solution with focus on specific customer rather than system-wide requirements;Missing of a global view of the system;2;91;3;;;
81;Technically unfeasible requirements;Customer over-expectations;Missing IT project experience at customer side;3;87;11;;;
81;Terminological problems;Cultural-language differences;Language barriers;5;70;12;;;
81;Underspecified requirements that are too abstract and allow for various interpretations;Due to time constraints and distribution of customer-provider (different place);Lack of time;1;67;15;;;
