lfdn;73;73_new;;;;;;;;;;;;;;;
30;0;up to 1 year;;;;;;;;;;;;;;;
33;3;1 to 5 years;;;;;;;;;;;;;;;
35;6;1 to 5 years;;;;;;;;;;;;;;;
41;0;up to 1 year;;;;;;;;;;;;;;;
48;1;up to 1 year;;;;;;;;;;;;;;;
56;4;1 to 5 years;;;;;;;;;;;;;;;
58;4;1 to 5 years;;;;;;;;;;;;;;;
75;25;more than 20 years;;;;;;;;;;;;;;;
76;Over 25 ;more than 20 years;;;;;;;;;;;;;;;
79;6;1 to 5 years;;;;;;;;;;;;;;;
81;2;1 to 5 years;;;;;;;;;;;;;;;
82;3 years;1 to 5 years;;;;;;;;;;;;;;;
84;> 20 years;more than 20 years;;;;;;;;;;;;;;;
91;25;more than 20 years;;;;;;;;;;;;;;;
93;6;1 to 5 years;;;;;;;;;;;;;;;
97;2;1 to 5 years;;;;;;;;;;;;;;;
102;3;1 to 5 years;;;;;;;;;;;;;;;
106;15;11 to 20 years;;;;;;;;;;;;;;;
114;2;1 to 5 years;;;;;;;;;;;;;;;
115;3;1 to 5 years;;;;;;;;;;;;;;;
118;15;11 to 20 years;;;;;;;;;;;;;;;
119;10;1 to 5 years;;;;;;;;;;;;;;;
120;6;1 to 5 years;;;;;;;;;;;;;;;
126;15;11 to 20 years;;;;;;;;;;;;;;;
129;18;11 to 20 years;;;;;;;;;;;;;;;
137;5;1 to 5 years;;;;;;;;;;;;;;;
141;14;11 to 20 years;;;;;;;;;;;;;;;
144;10;1 to 5 years;;;;;;;;;;;;;;;
146;<1;up to 1 year;;;;;;;;;;;;;;;
147;5;1 to 5 years;;;;;;;;;;;;;;;
149;21;more than 20 years;;;;;;;;;;;;;;;
150;4;1 to 5 years;;;;;;;;;;;;;;;
160;5;1 to 5 years;;;;;;;;;;;;;;;
162;4;1 to 5 years;;;;;;;;;;;;;;;
163;25 years;more than 20 years;;;;;;;;;;;;;;;
165;25;more than 20 years;;;;;;;;;;;;;;;
166;20;11 to 20 years;;;;;;;;;;;;;;;
167;10;1 to 5 years;;;;;;;;;;;;;;;
168;0;up to 1 year;;;;;;;;;;;;;;;
170;25;more than 20 years;;;;;;;;;;;;;;;
178;30;more than 20 years;;;;;;;;;;;;;;;
179;5;1 to 5 years;;;;;;;;;;;;;;;
180;8;1 to 5 years;;;;;;;;;;;;;;;
182;17;11 to 20 years;;;;;;;;;;;;;;;
183;5 years;1 to 5 years;;;;;;;;;;;;;;;
184;1;up to 1 year;;;;;;;;;;;;;;;
188;5;1 to 5 years;;;;;;;;;;;;;;;
197;15;11 to 20 years;;;;;;;;;;;;;;;
199;20;11 to 20 years;;;;;;;;;;;;;;;
203;12 years;11 to 20 years;;;;;;;;;;;;;;;
205;30+;more than 20 years;;;;;;;;;;;;;;;
207;7;1 to 5 years;;;;;;;;;;;;;;;
208;7;1 to 5 years;;;;;;;;;;;;;;;
210;4;1 to 5 years;;;;;;;;;;;;;;;
213;7;1 to 5 years;;;;;;;;;;;;;;;
215;9;1 to 5 years;;;;;;;;;;;;;;;
217;five;1 to 5 years;;;;;;;;;;;;;;;
221;7;1 to 5 years;;;;;;;;;;;;;;;
230;5;1 to 5 years;;;;;;;;;;;;;;;
231;8;1 to 5 years;;;;;;;;;;;;;;;
239;1;up to 1 year;;;;;;;;;;;;;;;
249;Just graduated from CSULB but have done multiple school projects;up to 1 year;;;;;;;;;;;;;;;
258;10;1 to 5 years;;;;;;;;;;;;;;;
259;1 year;up to 1 year;;;;;;;;;;;;;;;
263;1 year;up to 1 year;;;;;;;;;;;;;;;
267;5;1 to 5 years;;;;;;;;;;;;;;;
268;10;1 to 5 years;;;;;;;;;;;;;;;
278;10;1 to 5 years;;;;;;;;;;;;;;;
283;13;11 to 20 years;;;;;;;;;;;;;;;
291;15;11 to 20 years;;;;;;;;;;;;;;;
292;15;11 to 20 years;;;;;;;;;;;;;;;
295;5;1 to 5 years;;;;;;;;;;;;;;;
297;11;11 to 20 years;;;;;;;;;;;;;;;
304;5;1 to 5 years;;;;;;;;;;;;;;;
