lfdn;67_old;67_new
30;7;6 to 10
33;5;1 to 5
35;130;more than 50
41;4;1 to 5
48;25;21 to 50
56;7;6 to 10
58;40;21 to 50
75;185;more than 50
76;10 in detailed business analysis ;6 to 10
79;8;6 to 10
81;50;21 to 50
82;40;21 to 50
84;> 100;more than 50
91;70;more than 50
93;12;11 to 20
97;30;21 to 50
102;20;11 to 20
106;12;11 to 20
114;50;21 to 50
115;5;1 to 5
118;20;11 to 20
119;50;21 to 50
120;15;11 to 20
126;50;21 to 50
129;20;11 to 20
137;40;21 to 50
141;15;11 to 20
144;6;6 to 10
146;8;6 to 10
147;20;11 to 20
149;100;more than 50
150;8;6 to 10
160;10;6 to 10
162;15;11 to 20
163;25;21 to 50
165;100;more than 50
166;5;1 to 5
167;15;11 to 20
168;3;1 to 5
170;6;6 to 10
178;12;11 to 20
179;10;6 to 10
180;6;6 to 10
182;4;1 to 5
183;8;6 to 10
184;5;1 to 5
188;7;6 to 10
197;100;more than 50
199;14;11 to 20
203;Now I am looking for a job regrading requirements engineering, so my answers will be based on the projects I joined half a year ago.;INVALID
205;6;6 to 10
207;4;1 to 5
208;25;21 to 50
210;16;11 to 20
213;10 and more;11 to 20
215;25;21 to 50
217;four;1 to 5
221;35;21 to 50
230;20;11 to 20
231;100;more than 50
239;1500;more than 50
249;3;1 to 5
258;10;6 to 10
259;4;1 to 5
263;60;more than 50
267;8;6 to 10
268;50;21 to 50
278;100;more than 50
283;60;more than 50
291;30;21 to 50
292;60;more than 50
295;35;21 to 50
297;25;21 to 50
304;50;21 to 50
310;8;6 to 10
313;10;6 to 10
315;15;11 to 20
317;7;6 to 10
330;35;21 to 50
332;5;1 to 5
334;1;1 to 5
341;8;6 to 10
349;4;1 to 5
355;50;21 to 50
359;60;more than 50
364;25;21 to 50
365;25;21 to 50
370;25;21 to 50
372;70;more than 50
377;N/A - I have oversight of a large number of projects and programmes across the organisation;INVALID
378;15;11 to 20
384;70;more than 50
387;15;11 to 20
393;150;more than 50
409;10;6 to 10
412;15;11 to 20
416;6;6 to 10
420;10;6 to 10
425;30;21 to 50
427;70;more than 50
429;25;21 to 50
437;130;more than 50
442;15;11 to 20
444;10;6 to 10
446;40;21 to 50
453;6;6 to 10
454;30;21 to 50
461;12;11 to 20
466;7;6 to 10
467;3;1 to 5
468;4;1 to 5
475;10;6 to 10
479;10;6 to 10
482;40;21 to 50
485;50;21 to 50
489;40;21 to 50
496;35;21 to 50
502;5;1 to 5
506;30;21 to 50
507;10;6 to 10
511;12;11 to 20
512;6;6 to 10
518;3;1 to 5
523;5;1 to 5
524;30;21 to 50
525;5;1 to 5
531;20;11 to 20
534;20;11 to 20
539;50;21 to 50
541;34;21 to 50
545;50;21 to 50
548;12;11 to 20
549;10;6 to 10
559;6;6 to 10
560;30;21 to 50
564;4;1 to 5
569;25;21 to 50
570;50;21 to 50
572;>500;more than 50
573;30;21 to 50
575;4;1 to 5
586;20;11 to 20
590;20;11 to 20
593;3;1 to 5
626;10;6 to 10
634;4;1 to 5
637;20;11 to 20
640;~5;1 to 5
649;10;6 to 10
661;10;6 to 10
663;40;21 to 50
676;5;1 to 5
683;5;1 to 5
684;44474;more than 50
694;multiple small-medium projects: average 2 direct management projects with 5 people each + 10 indirect projects (not managing their requirements);INVALID
695;50;21 to 50
710;30;21 to 50
711;8;6 to 10
719;10;6 to 10
722;20;11 to 20
723;5;1 to 5
728;8;6 to 10
729;10;6 to 10
730;5;1 to 5
735;4;1 to 5
740;5;1 to 5
742;20;11 to 20
750;5;1 to 5
753;15 aproximadamente;11 to 20
754;20;11 to 20
758;16;11 to 20
765;10;6 to 10
768;10;6 to 10
774;8;6 to 10
785;2;1 to 5
786;10;6 to 10
795;10;6 to 10
809;4;1 to 5
814;10;6 to 10
818;30;21 to 50
819;12;11 to 20
825;5;1 to 5
830;40;21 to 50
831;25;21 to 50
837;10;6 to 10
839;33;21 to 50
845;10;6 to 10
847;10;6 to 10
849;5;1 to 5
851;45;21 to 50
856;10;6 to 10
857;3;1 to 5
862;10;6 to 10
864;8;6 to 10
865;3;1 to 5
868;7;6 to 10
870;5;1 to 5
876;9;6 to 10
879;20;11 to 20
880;15;11 to 20
884;10;6 to 10
887;12;11 to 20
889;20;11 to 20
894;7;6 to 10
896;10;6 to 10
898;13;11 to 20
900;No Projeto atual, temos 6 pessoas envolvidas;6 to 10
901;50;21 to 50
909;8;6 to 10
910;6;6 to 10
912;15-20;11 to 20
916;8;6 to 10
917;10;6 to 10
918;3;1 to 5
921;12;11 to 20
923;12;11 to 20
924;8;6 to 10
926;45;21 to 50
928;50;21 to 50
929;100;more than 50
930;12;11 to 20
931;12;11 to 20
932;20;11 to 20
933;13;11 to 20
937;10;6 to 10
945;10;6 to 10
947;11;11 to 20
948;5;1 to 5
952;170;more than 50
955;120;more than 50
956;20;11 to 20
957;50;21 to 50
958;6;6 to 10
959;6;6 to 10
960;200;more than 50
962;12;11 to 20
967;60;more than 50
968;22;21 to 50
980;5;1 to 5
984;10;6 to 10
985;5;1 to 5
987;4;1 to 5
990;5;1 to 5
997;10;6 to 10
1006;15;11 to 20
1008;15;11 to 20
1009;6;6 to 10
1010;15;11 to 20
1011;4;1 to 5
1012;15;11 to 20
1013;5;1 to 5
1014;4;1 to 5
1017;300;more than 50
1021;4;1 to 5
1028;50;21 to 50
1031;10;6 to 10
1033;15;11 to 20
1035;6;6 to 10
1039;12;11 to 20
1051;50;21 to 50
1055;4;1 to 5
1056;6;6 to 10
1062;10;6 to 10
1064;40;21 to 50
1065;7;6 to 10
1066;100;more than 50
1069;5;1 to 5
1070;10;6 to 10
1076;10;6 to 10
1079;11;11 to 20
1080;2;1 to 5
1082;6;6 to 10
1091;7;6 to 10
1097;200;more than 50
1098;20;11 to 20
1100;40;21 to 50
1101;10;6 to 10
1105;19;11 to 20
1111;60;more than 50
1114;6;6 to 10
1115;30;21 to 50
1118;50;21 to 50
1122;10;6 to 10
1124;25;21 to 50
1126;20;11 to 20
1129;30;21 to 50
1139;15;11 to 20
1140;3;1 to 5
1141;50;21 to 50
1159;3;1 to 5
1161;8;6 to 10
1163;4;1 to 5
1164;2;1 to 5
1165;5;1 to 5
1166;3;1 to 5
1167;12;11 to 20
1168;4;1 to 5
1171;5;1 to 5
1172;5;1 to 5
1181;35;21 to 50
1184;30;21 to 50
1187;20;11 to 20
1188;20;11 to 20
1189;10;6 to 10
1190;10;6 to 10
1194;80;more than 50
1200;2;1 to 5
1204;15;11 to 20
1207;15;11 to 20
1214;10;6 to 10
1220;4;1 to 5
1221;6;6 to 10
1222;1;1 to 5
1223;7;6 to 10
1224;14;11 to 20
1225;4;1 to 5
1226;10;6 to 10
1227;6;6 to 10
1228;30;21 to 50
1229;8;6 to 10
1236;20;11 to 20
1238;6;6 to 10
1239;70;more than 50
1255;9;6 to 10
1262;6;6 to 10
