;question_id;question_text;question_type;answer_0;answer_1;answer_2;answer_3;answer_4;answer_5;answer_6;answer_7;answer_8;answer_9;answer_10;answer_11;answer_12;answer_13;answer_14;answer_15;answer_16;answer_17;answer_18;answer_19;answer_20;answer_21;answer_22;answer_23;answer_24;answer_25;answer_26;answer_27;answer_28;answer_29;answer_30;answer_31;answer_32;answer_33;answer_34;answer_35;answer_36;answer_37;answer_38;answer_39;answer_40;answer_41;answer_42;answer_43;answer_44;answer_45;answer_46;answer_47;answer_48;answer_49;answer_50;answer_51;answer_52;answer_53
0;20;How do you verify and/or validate your requirements?;checkbox;Inspection (formal technical reviews using reading techniques or checklists);Walkthroughs;Informal peer reviews;Simulations;Automatic checking;We do not verify and/or validate our requirements documentation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;11;What is the reason for your satisfaction with your projects?;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;17;Which techniques do you use for your requirements elicitation?;checkbox;Interviews;Analysis of existing documents;Risk analyses;Prototyping;Workshops and focus groups;(Requirements) Reuse database and guidelines;Design Thinking/Lean Startup;External experts;Observations/Ethnography;Brainstorming;We do not elicit requirements (ourselves);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;12;In your experience, how many of the requirements you elicit in the beginning end up in the final product on average?;radiogroup;0-20%;21-40%;41-60%;61-80%;81-100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;10;In your opinion, how satisfied are you in general with the projects you have carried out yourself?;radiogroup;Very Satisfied;Satisfied;Neutral;Unsatisfied;Very unsatisfied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;18;How do you document requirements?;checkbox;Use cases;Natural language/informal (plain) text;Structured list of requirements;User stories;Use case diagrams;Activity diagrams;Class diagrams;Sequence diagrams;State machines;Goal models;Business process models;Prototypes/User screens;Sketches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;Please select the class of systems or services you work on in the context of your project.;radiogroup;Software-intensive embedded systems;Business information systems;Hybrid of both software-intensive embedded systems and business;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;15;If you have changed your current work practices recently, why did you change it?;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;13;How long have you been applying your current work practices without having made a major transformation?;radiogroup;up to 1 year;1 to 5 years;6 to 10 years;11 to 20 years;more than 20 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;21;How do you align software testing with the requirements?;checkbox;Testers participate in requirements reviews.;We check the coverage of requirements with tests.;We define acceptance criteria and tests for requirements.;We derive tests from system models.;We do not align tests and requirements.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;5;How would you describe the ratio between the scope of your projects with the amount of projects in a year?;radiogroup;Few projects with a large scope;A couple of projects with a medium scope;High number of projects with small scope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
